	city	hotel_name	email	phone	postal_code	price	star_count	street	type	web	lat	lon	neighbourhood
0	Barcelona	Hotel HCC Open	open@hcchotels.es	+34(93)2893500	08015	89.0	3	Diputacio, 100	[u'Hotel']	http://www.hcchotels.com/eng/open.html	41.381699	2.1551	la Nova Esquerra de l'Eixample
1	Barcelona	Hcc Montblanc	montblanc@hcchotels.es	+34(93)3435555	08003	116.0	3	Via Laietana, 61	[u'Hotel']	http://www.hcchotels.es/en/hotel/3/hcc-montblanc	41.387882	2.173283	el Barri Gotic
2	Barcelona	Ayre Hotel Gran Via	granvia@ayrehoteles.com	+34(93)3675500 	08004	98.0	4	Gran Via de les Corts Catalanes 322-324	[u'Hotel']	http://www.ayrehoteles.com/hotel-gran-via/?utm_source=trivago&utm_medium=pro&utm_campaign=pro	41.373302	2.147286	la Font de la Guatlla
3	Barcelona	NH Barcelona Stadium	nhbarcelonastadium@nh-hotels.com	+34(93)3399050	08028	137.0	4	Travessera de les Corts, 150-152	[u'Hotel']	http://www.nh-hotels.com/hotel/nh-barcelona-stadium	41.381199	2.127	la Maternitat i Sant Ramon
4	Barcelona	Duquesa de Cardona	info@hduquesadecardona.com	+34(93)2689090	08002	208.0	4	Passeig Colom 12	[u'Hotel']	http://www.hduquesadecardona.com	41.379799	2.1804	el Barri Gotic
5	Barcelona	chic&basic Born	born@chicandbasic.com	+34(93)2954652	08003	96.0	3	Calle Princesa 50	[u'Hotel']	http://www.chicandbasic.com/hotel-barcelona-born/es/	41.386761	2.182401	Sant Pere, Santa Caterina i la Ribera
6	Barcelona	Exe Ramblas Boqueria	info@exeramblasboqueria.com	+34(93)3435461	08002	114.0	3	Rambla de Sant Josep 91-93	[u'Hotel']	http://www.exeramblasboqueria.com	41.382355	2.171972	el Raval
7	Barcelona	Hesperia Presidente	hhpresidente@nh-hotels.com	+34(93)2002111	08021	98.0	4	Avenida Diagonal 570	[u'Hotel']	http://www.nh-hotels.com/hotel/hesperia-presidente	41.394199	2.1492	Sant Gervasi - Galvany
8	Barcelona	Ayre Hotel Rosellon	rosellon@ayrehoteles.com	+34(93)6009200	08025	116.0	4	Rossello 390	[u'Hotel']	http://www.ayrehoteles.com/en/hotel-rosellon/?utm_source=trivago&utm_medium=pro&utm_campaign=pro	41.404739	2.172713	la Sagrada Familia
9	Barcelona	Catalonia Sagrada Familia	aragon.reservas@hoteles-catalonia.es	+34(93)2458905	08026	120.0	3	Arago 569 bis	[u'Hotel']	http://www.hoteles-catalonia.com/es/nuestros_hoteles/europa/espanya/catalunya/barcelona/hotel_catalonia_aragon/index.jsp	41.4076	2.1851	el Camp de l'Arpa del Clot
10	Barcelona	Sansi Diputacio	diputacio@sansihotels.com	+34(93)3040707	08007	109.0	4	Calle Diputacio 234-236	[u'Hotel']	http://www.hotelsansidiputacio.com/?wadsrc=dl_trivago	41.388302	2.1646	la Dreta de l'Eixample
11	Barcelona	Villa Emilia Barcelona	info@hotelvillaemilia.com	+34(93)2525285	08015	135.0	4	Calabria 115-117	[u'Hotel']	http://www.hotelvillaemilia.com	41.3801	2.1539	la Nova Esquerra de l'Eixample
12	Barcelona	Ayre Hotel Caspe	reservas.barcelona@ayrehoteles.com	+34(93)2467000	08013	89.0	4	C/ Caspe 103	[u'Hotel']	http://www.ayrehoteles.com/hotel-caspe/?utm_source=trivago&utm_medium=pro&utm_campaign=pro	41.395912	2.179283	el Fort Pienc
13	Barcelona	H10 Metropolitan	h10.metropolitan@h10hotels.com	+34(93)2140720	08007	155.0	4	Rambla Catalunya 7-9	[u'Hotel']	http://www.h10hotels.com/en/hotel/barcelona-hotels/h10-metropolitan.html	41.387764	2.167727	la Dreta de l'Eixample
14	Barcelona	NH Sants Barcelona	nhnumancia@nh-hotels.com	+34(93)3224451	08029	104.0	4	Numancia, 74	[u'Hotel']	http://www.nh-hotels.com/hotel/nh-sants-barcelona	41.384651	2.137717	les Corts
15	Barcelona	Two Hotel Barcelona By Axel	twobarcelona@axelhotels.com	+34(93)5392313	08015	129.0	4	Calabria, 90-92	[u'Hotel']	http://www.axelhotels.com/en/two-hotel-barcelona/hotel.html	41.379131	2.156119	Sant Antoni
16	Barcelona	Negresco Princess	reservas.negresco@princess-hotels.com	+34(93)2150052	08010	118.0	4	Roger De Lluria, 16-18	[u'Hotel']	http://www.hotelnegrescoprincess.com/en	41.390419	2.172584	la Dreta de l'Eixample
17	Barcelona	NH Barcelona Diagonal Center	nhdiagonalcenter@nh-hotels.com	+34(93)3090629	08018	134.0	3	Alaba, 94-96,	[u'Hotel']	http://www.nh-hotels.com/hotel/nh-barcelona-diagonal-center	41.398014	2.192306	el Parc i la Llacuna del Poblenou
18	Barcelona	Fairmont Rey Juan Carlos I 	bcn.reservas@fairmont.com	+34(93)3644040	08028	152.0	5	Avda Diagonal 661-671	[u'Hotel']	http://www.fairmont.com/barcelona/	41.383526	2.109614	la Maternitat i Sant Ramon
19	Barcelona	Best Western Premier Dante	info@hoteldante.es	+34(93)3232254	08036	89.0	4	C/ Mallorca 181	[u'Hotel']	http://book.bestwestern.com/bestwestern/productInfo.do?propertyCode=92097&partnerId=TGO	41.3894	2.1564	l'Antiga Esquerra de l'Eixample
20	Barcelona	Silken Diagonal Barcelona	reservas.diagonal@hoteles-silken.com	+34(93)4895300	08018	110.0	4	Avenida Diagonal 205	[u'Hotel']	http://www.hoteldiagonalbarcelona.com	41.404026	2.190373	el Parc i la Llacuna del Poblenou
21	Barcelona	Hesperia Barri Gotic	hotel@hesperia-metropol.com	+34(933)105100	08002	129.0	3	Ample 31	[u'Hotel']	http://www.nh-hotels.com/hotel/hesperia-barri-gotic	41.380001	2.1792	el Barri Gotic
22	Barcelona	Hotel Arts Barcelona	rc.bcnrz.call.center@ritzcarlton.com	+34(93)2211000	08005	329.0	5	Carrer de la Marina 19-21	[u'Hotel']	http://www.hotelartsbarcelona.com	41.387001	2.1964	la Barceloneta
