	hotel_name	city_int	price	quality_test	total_rat	premium	lat	lon	part_total_rat	breakfast	cleanliness	comfort	facilities	food	hotel_condition	location	room	service	value_for_money	double_bed	king_bed	queen_bed	individual_bed	four_bed	two_ind_beds	five_bed	six_bed	triple	water_sports	winter_sports	family	party	fitness	gay_friendly	gourmets	big_groups	honey_moon	business	adults_only	single_status	pet_travelers	atrapalo_rc	customer_alliance_rc	expedia_rc	holiday_check_rc	hoteles_rc	hotelsclick_rc	splendia_rc	superbreak_rc	vinivi_rc	zoover_rc	hostelbookers_rc	atrapalo_r	customer_alliance_r	expedia_r	holiday_check_r	hoteles_r	hotelsclick_r	splendia_r	superbreak_r	vinivi_r	zoover_r	hostelbookers_r	air_conditioner	bar_in_hotel	gym	pet_allowed	parking	pool	restaurant	spa	wifi_room	wifi_hall	air_conditioner_free	bar_in_hotel_free	gym_free	pet_allowed_free	parking_free	pool_free	restaurant_free	spa_free	wifi_room_free	wifi_hall_free	hotel_type	neighbourhood	is_hotel_very_centric	is_hotel_centric	is_neighbourhood_very_centric	city_name	email	phone	postal_code	star_count	street	type	web
0	Sant Cugat	2	113.0	0	0	0	41.470749	2.085879	1023	78	91	85	82	73	85	88	81	84	79	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	1472.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	82.0	86.0	80.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False	Barcelona	info@hotel-santcugat.com	+34(93)5442670	08172	4	Cesar Martinell, no-2	[u'Hotel']	http://www.hotel-santcugat.com
1	Hotel HCC Open	2	90.0	0	0	0	41.381699	2.1551	1305	73	85	79	79	71	79	83	79	83	77	1	1	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	77.0	0.0	84.0	80.0	82.0	0.0	0.0	0.0	0.0	77.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	la Nova Esquerra de l'Eixample	False	True	True	Barcelona	open@hcchotels.es	+34(93)2893500	08015	3	Diputacio, 100	[u'Hotel']	http://www.hcchotels.com/eng/open.html
2	Sansi Diputacio	2	109.0	0	0	0	41.388302	2.1646	896	69	76	75	76	74	76	88	71	78	72	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	406.0	57.0	452.0	654.0	0.0	0.0	0.0	317.0	0.0	0.0	0.0	78.0	75.0	78.0	68.0	0.0	0.0	0.0	71.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	la Dreta de l'Eixample	True	False	True	Barcelona	diputacio@sansihotels.com	+34(93)3040707	08007	4	Calle Diputacio 234-236	[u'Hotel']	http://www.hotelsansidiputacio.com/?wadsrc=dl_trivago
3	Hotel Arts Barcelona	2	329.0	0	0	0	41.387001	2.1964	2626	75	91	91	85	82	89	89	90	89	77	0	0	0	0	1	0	0	0	1	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	654.0	0.0	0.0	0.0	317.0	0.0	0.0	0.0	92.0	95.0	92.0	92.0	0.0	0.0	0.0	94.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5	la Barceloneta	False	False	False	Barcelona	rc.bcnrz.call.center@ritzcarlton.com	+34(93)2211000	08005	5	Carrer de la Marina 19-21	[u'Hotel']	http://www.hotelartsbarcelona.com
4	Medium Sitges Park	2	70.0	0	0	0	41.237034	1.81022	2271	74	86	79	80	74	83	92	78	82	78	1	0	0	0	0	1	0	0	0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	82.0	75.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False	Barcelona	sitgespark@mediumhoteles.com	+34(93)8940250	08870	3	Jesus, 16	[u'Hotel']	http://www.mediumhoteles.com/es/espana/sitges/centro/hotel-medium-sitges-park
5	Two Hotel Barcelona By Axel	2	119.0	0	0	0	41.379131	2.156119	1658	75	91	86	85	78	83	84	83	88	82	0	1	0	1	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	406.0	0.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	Sant Antoni	False	True	True	Barcelona	twobarcelona@axelhotels.com	+34(93)5392313	08015	4	Calabria, 90-92	[u'Hotel']	http://www.axelhotels.com/en/two-hotel-barcelona/hotel.html
6	Campanile Barcelona	2	44.0	0	0	0	41.508354	2.141169	830	68	75	68	71	67	70	67	69	72	72	1	0	0	1	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	434.0	65.0	0.0	68.0	72.0	66.0	0.0	0.0	0.0	0.0	0.0	84.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False	Barcelona	barcelona.barbera@campanile.com	+34(93)7292928	08210	3	Ctra N-150 Km. 6,7 - Sector Baricentro	[u'Hotel']	http://www.campanile-barcelona.es
7	Dolce Sitges	2	103.0	0	0	0	41.229488	1.772921	2214	84	91	91	88	84	89	82	86	86	80	0	1	0	0	0	1	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	71.0	0.0	0.0	0.0	0.0	76.0	0.0	90.0	87.0	92.0	0.0	91.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	outskirt	False	False	False	Barcelona	info_sitges@dolce.com	+34(93)8109000	08870	5	Avenida Cami De Miralpeix, 12	[u'Resort']	https://www.dolcesitges.com/en/
8	Duquesa de Cardona	2	220.0	0	0	0	41.379799	2.1804	2193	78	92	88	86	80	89	94	86	91	82	1	0	1	0	0	1	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	71.0	0.0	0.0	317.0	0.0	0.0	0.0	90.0	93.0	90.0	0.0	88.0	0.0	0.0	91.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	el Barri Gotic	False	True	True	Barcelona	info@hduquesadecardona.com	+34(93)2689090	08002	4	Passeig Colom 12	[u'Hotel']	http://www.hduquesadecardona.com
9	Vincci Gala	2	198.0	0	0	0	41.389526	2.174714	3457	78	93	89	84	83	90	93	86	89	84	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	90.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	la Dreta de l'Eixample	True	False	True	Barcelona	gala@vinccihoteles.com	+34(91)4902650	08010 	4	Ronda Sant Pere, 32	[u'Hotel']	http://www.vinccihoteles.com/Hoteles/Espana/Barcelona/Vincci-Gala
